,original_title,cast,director,keywords,genres,imdb_id,final_numeric_weights,text
8726,thirteen days,kevincostner brucegreenwood stevenculp dylanbaker shawndriscoll,rogerdonaldson,u.s.president atomicbomb johnf.kennedy kubakrise threat,drama thriller,tt0146309,0.352,kevincostner brucegreenwood stevenculp dylanbaker shawndriscollrogerdonaldsondrama thrilleru.s.president atomicbomb johnf.kennedy kubakrise threat
8727,the beach,leonardodicaprio guillaumecanet tildaswinton virginieledoyen staffankihlbom,dannyboyle,hippie exoticisland beach map groupdynamics,drama adventure romance thriller,tt0163978,0.236,leonardodicaprio guillaumecanet tildaswinton virginieledoyen staffankihlbomdannyboyledrama adventure romance thrillerhippie exoticisland beach map groupdynamics
8729,batman beyond: return of the joker,willfriedle kevinconroy markhamill angieharmon deanstockwell,curtgeda,dccomics superhero cyberpunk savetheneighborhood superpowers,animation family,tt0233298,0.783,willfriedle kevinconroy markhamill angieharmon deanstockwellcurtgedaanimation familydccomics superhero cyberpunk savetheneighborhood superpowers
8734,titan a.e.,mattdamon billpullman drewbarrymore johnleguizamo nathanlane,donbluth garygoldman,monster galaxy dystopia space alien,animation action sciencefiction family adventure,tt0120913,0.14400000000000002,mattdamon billpullman drewbarrymore johnleguizamo nathanlanedonbluth garygoldmananimation action sciencefiction family adventuremonster galaxy dystopia space alien
8741,small time crooks,woodyallen carolynsaxon traceyullman michaelrapaport tonydarrow,woodyallen,bank restaurant roleofwomen bankrobber wife,action comedy crime,tt0196216,0.197,woodyallen carolynsaxon traceyullman michaelrapaport tonydarrowwoodyallenaction comedy crimebank restaurant roleofwomen bankrobber wife
8743,the tigger movie,jimcummings nikitahopkins kensansom johnfiedler petercullen,junfalkenstein,owl donkey tiger piglet bear,animation family,tt0220099,0.327,jimcummings nikitahopkins kensansom johnfiedler petercullenjunfalkensteinanimation familyowl donkey tiger piglet bear
8744,next friday,icecube mikeepps justinpierce johnwitherspoon doncurry,stevecarr,prison repayment gangwar boygang revenge,comedy,tt0195945,0.379,icecube mikeepps justinpierce johnwitherspoon doncurrystevecarrcomedyprison repayment gangwar boygang revenge
8747,best in show,jaybrazeau parkerposey michaelhitchcock catherineo'hara eugenelevy,christopherguest,illinois petshop poodle independentfilm mockumentary,comedy,tt0218839,0.404,jaybrazeau parkerposey michaelhitchcock catherineo'hara eugenelevychristopherguestcomedyillinois petshop poodle independentfilm mockumentary
8750,men of honor,robertdeniro cubagoodingjr. charlizetheron aunjanueellis halholbrook,"georgetillman,jr.",diving usnavy,drama,tt0203019,0.535,"robertdeniro cubagoodingjr. charlizetheron aunjanueellis halholbrookgeorgetillman,jr.dramadiving usnavy"
8751,what lies beneath,harrisonford michellepfeiffer dianascarwid jamesremar mirandaotto,robertzemeckis,nan,drama horror mystery thriller,tt0161081,0.17300000000000001,harrisonford michellepfeiffer dianascarwid jamesremar mirandaottorobertzemeckisdrama horror mystery thrillernan
8753,finding forrester,seanconnery robbrown f.murrayabraham annapaquin bustarhymes,gusvansant,upperclass brotherbrotherrelationship scotland poetry basedonnovel,drama,tt0181536,0.499,seanconnery robbrown f.murrayabraham annapaquin bustarhymesgusvansantdramaupperclass brotherbrotherrelationship scotland poetry basedonnovel
8754,tigerland,"colinfarrell matthewdavis cliftoncollins,jr. tomguiry sheawhigham",joelschumacher,independentfilm awol fortpolklouisiana targetpractice guitarplayer,drama war,tt0170691,0.275,"colinfarrell matthewdavis cliftoncollins,jr. tomguiry sheawhighamjoelschumacherdrama warindependentfilm awol fortpolklouisiana targetpractice guitarplayer"
